,Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time,ambient_temperature,time,Capacity,Cycle
1,4.122635846291491,-0.000607434913611,43.41517780938604,0.0004,0.0,0.0,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,4.122758586822445,-0.00032066021316900004,43.406265771768616,0.0006000000000000001,4.138,9.358999999999998,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.804544441396879,-4.0242058897714,43.44300568010792,3.995,1.854,19.453,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.779299708958486,-4.021188104428178,43.55895892484553,3.995,1.82,28.781000000000002,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.758906937747239,-4.022193608909733,43.72155018599956,3.995,1.806,38.156000000000006,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.741408470691656,-4.022328305816472,43.88622270502331,3.995,1.7890000000000001,47.516,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.726137410600065,-4.022030406410107,44.062930407879854,3.995,1.7730000000000001,56.843999999999994,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.7121592553833933,-4.024402982095126,44.26603481239899,3.995,1.759,66.219,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.699320110081699,-4.02147461027646,44.47657261673918,3.995,1.744,75.531,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.68715007157047,-4.022123037172586,44.63494259348186,3.995,1.728,84.844,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.675903612981601,-4.023660760154148,44.852534235093835,3.995,1.714,94.141,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.665035345507421,-4.020012308551312,45.03474882479476,3.995,1.702,103.5,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.654902994419688,-4.023115575492921,45.20593171148314,3.995,1.6880000000000002,112.859,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.645538645659164,-4.024423802247087,45.42603904221644,3.995,1.6800000000000002,122.281,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.636975403803684,-4.023274493799255,45.624218415128915,3.995,1.673,131.625,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.629328153155027,-4.023368738165938,45.75273907045649,3.995,1.665,141.016,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.622168692930865,-4.022319204930279,45.91825152889412,3.995,1.6560000000000001,150.375,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.615299162695759,-4.024052986240762,46.08464883553829,3.995,1.653,159.688,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.608936429929418,-4.022976087830028,46.234636723505176,3.995,1.65,169.047,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.602880706937038,-4.022959533864147,46.3797992507442,3.995,1.645,178.344,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.597218329898584,-4.022284186822549,46.48020844422439,3.995,1.6680000000000001,187.703,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.5918001956064343,-4.022940168700212,46.58956849812543,3.995,1.6600000000000001,197.063,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.58667726800347,-4.023245720801145,46.78333440979402,3.995,1.659,206.406,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.581685929986187,-4.024522478368483,46.8725017874132,3.995,1.653,215.76600000000002,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.5769189592856163,-4.022494090246671,46.97999379651319,3.995,1.647,225.109,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.572397722394494,-4.023377585777586,47.12767831984375,3.995,1.643,234.453,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.567794406562422,-4.022946617111131,47.232179510239185,3.995,1.638,243.844,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.563460856899873,-4.023464712394974,47.321840076587954,3.995,1.634,253.203,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.559298235926251,-4.021574094646155,47.44342540702288,3.995,1.629,262.547,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.555194719523561,-4.021952300385279,47.61750192605623,3.995,1.6360000000000001,271.875,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.551231892376662,-4.024239155438853,47.696716528384854,3.995,1.627,281.203,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.547376143092331,-4.023691507209673,47.760644921269915,3.995,1.6219999999999999,290.516,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.543480818227803,-4.023262572005644,47.917185869828714,3.995,1.617,299.844,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.539679749471027,-4.023428557935806,48.041624823571325,3.995,1.608,309.141,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.536124596384994,-4.022746358682316,48.08831908565793,3.995,1.604,318.438,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.532341828299681,-4.021665429150858,48.21001329298121,3.995,1.601,327.813,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.52875702159323,-4.02391840324394,48.320307007160906,3.995,1.596,337.172,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.525069712051668,-4.021071238592699,48.43308818761291,3.995,1.599,346.531,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.521284239021499,-4.023280973790731,48.517619511900406,3.995,1.5939999999999999,355.875,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.5177797639199273,-4.022203476080142,48.60757680076582,3.995,1.5899999999999999,365.156,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.514323198656676,-4.021534013985282,48.70689247230986,3.995,1.5859999999999999,374.453,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.5107482319938192,-4.022672351438298,48.84212132868739,3.995,1.589,383.828,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.507217010565822,-4.02269347899538,48.92195560026256,3.995,1.585,393.172,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.5036985885573513,-4.023415557130217,48.971117216249944,3.995,1.58,402.609,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.500213661245631,-4.022493854312317,49.0783889333694,3.995,1.576,411.938,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.496597102306252,-4.0229570258903244,49.170642240386506,3.995,1.572,421.25,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.493181367860805,-4.0230691334838244,49.20137616471686,3.995,1.568,430.547,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.489766432861714,-4.023059909479873,49.30648674810976,3.995,1.564,439.859,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.486245302680136,-4.023343178199966,49.46411864151685,3.995,1.56,449.234,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.48288748991591,-4.023655730457966,49.49568036578899,3.995,1.556,458.625,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.479430574182521,-4.021800151606331,49.59777917174996,3.995,1.553,467.969,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.4760148649901,-4.022412597754895,49.66694913123585,3.995,1.556,477.313,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.472623253782508,-4.023042547918682,49.76949859016027,3.995,1.552,486.688,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.469172498384926,-4.021121373410047,49.84941059624598,3.995,1.548,496.063,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.465901780488383,-4.023334838221913,49.924749377354665,3.995,1.5430000000000001,505.359,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.462621232769823,-4.024053291525512,49.99110952126888,3.995,1.537,514.703,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.459272998987545,-4.023715825146721,50.09619991614962,3.995,1.532,524.031,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.45607864496321,-4.021283914000578,50.13984346287967,3.995,1.528,533.359,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.452919232326238,-4.023334363465872,50.24147180588533,3.995,1.524,542.75,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.4497031939726712,-4.023115684595091,50.34774221522701,3.995,1.5150000000000001,552.109,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.446484345258436,-4.022664909876093,50.437393041235225,3.995,1.5150000000000001,561.5,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.443303404910441,-4.024348270901537,50.45379490984567,3.995,1.5110000000000001,570.844,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.440167393004497,-4.023197699069868,50.55562149605919,3.995,1.508,580.156,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.437187656098579,-4.023033898184654,50.64026502393265,3.995,1.506,589.469,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.434164508431451,-4.023690910977621,50.70606144190245,3.995,1.5190000000000001,598.781,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.431163753738832,-4.022810355236159,50.78607845626465,3.995,1.509,608.094,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.428293443206367,-4.024837730024322,50.80939287517102,3.995,1.505,617.484,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.425426638162011,-4.022067261337159,50.954101920418616,3.995,1.501,626.891,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.422602298747085,-4.022591346330282,51.00273367560788,3.995,1.496,636.219,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.419852938353884,-4.023406054982193,51.0767506736307,3.995,1.491,645.594,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.41720628313262,-4.024142853928155,51.158420557742474,3.995,1.487,654.938,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.414510722992495,-4.022523533462518,51.20928743285831,3.995,1.484,664.25,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.4119018689490233,-4.020790367956198,51.286611593708066,3.995,1.4809999999999999,673.625,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.409393882476998,-4.022989364778283,51.40122285625769,3.995,1.478,682.938,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.406961417820571,-4.023515573710354,51.45524139385626,3.995,1.475,692.25,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.404472557489511,-4.02163134330242,51.48873877726659,3.995,1.473,701.625,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.402043475686603,-4.024333491689768,51.54392505892826,3.995,1.47,711.016,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.399728146566453,-4.024132696829487,51.65724994358785,3.995,1.468,720.328,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.39743762205391,-4.02060039292415,51.67602859916319,3.995,1.466,729.719,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.395226164686364,-4.024316045578713,51.76881517566292,3.995,1.47,739.078,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.392866882424048,-4.021975851856658,51.884752056361705,3.995,1.467,748.469,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.390648181449092,-4.022585518657956,51.94785952108249,3.995,1.463,757.813,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.388397338222546,-4.024228732311988,51.975657846722974,3.995,1.461,767.219,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.386206911023863,-4.023196473769691,52.04916764136666,3.995,1.457,776.547,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.383915125750154,-4.024023801891891,52.0863150721668,3.995,1.453,785.891,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.381803823597176,-4.023947650266557,52.1658348309215,3.995,1.449,795.313,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.379661604281501,-4.02265487420418,52.222617820251045,3.995,1.447,804.625,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.377458287495973,-4.024423897153942,52.28489782374741,3.995,1.444,813.922,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.375279126308615,-4.024439137292044,52.37481018221671,3.995,1.441,823.25,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.373102815577015,-4.022588935175202,52.46719880649932,3.995,1.439,832.594,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.370896204122773,-4.023338607622138,52.48675006962495,3.995,1.437,841.953,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.368786806988329,-4.022686185277138,52.542027525701386,3.995,1.434,851.313,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.366634800259825,-4.023020704128255,52.573376639919225,3.995,1.432,860.688,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.36441269737035,-4.02358223703179,52.63009507548714,3.995,1.43,870.016,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.362387719788061,-4.021473949609534,52.690100035680054,3.995,1.428,879.359,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.3600445580393,-4.023626747261981,52.79952101625569,3.995,1.426,888.688,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.357783143820952,-4.024209603396212,52.81801463466568,3.995,1.424,898.0,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.355543666906373,-4.02165453949792,52.85415191790672,3.995,1.426,907.422,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.353412772939235,-4.024011521920059,52.88028126254289,3.995,1.423,916.734,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.351211295502741,-4.024681086652523,52.985583233715296,3.995,1.421,926.063,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.348851379565912,-4.022970530268818,53.076242363878116,3.995,1.419,935.453,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.346650413189206,-4.022679018190894,53.07786218868731,3.995,1.417,944.797,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.344291971915558,-4.023759778351666,53.120617377030314,3.995,1.4140000000000001,954.109,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.341880322439327,-4.021093431216756,53.245627461910566,3.995,1.411,963.453,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.339627807284787,-4.024157481141261,53.250121723673985,3.995,1.405,972.781,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.337142708355697,-4.023100572448463,53.38927840169084,3.995,1.401,982.094,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.334804246507811,-4.023739539707182,53.429844360947534,3.995,1.4,991.5,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.332327393834858,-4.023072708854388,53.4011946062731,3.995,1.397,1000.828,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.329797922209319,-4.023786428110932,53.4878015856426,3.995,1.395,1010.172,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.327334081054612,-4.022829029648141,53.572168949012415,3.995,1.393,1019.484,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.324791987629388,-4.024180841527206,53.5981320174327,3.995,1.391,1028.813,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.322234799400949,-4.023047165787275,53.669853614997635,3.995,1.389,1038.172,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.319548887236766,-4.023327604090463,53.76094829241584,3.995,1.387,1047.531,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.3168039859706298,-4.023085803661579,53.79166607285646,3.995,1.385,1056.875,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.314099943497339,-4.024296060999045,53.9003947627662,3.995,1.383,1066.266,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.311378215371751,-4.02355501385397,53.89232785686261,3.995,1.38,1075.609,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.3086151801485792,-4.022737866215223,53.910744823918925,3.995,1.377,1084.969,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.305790378277783,-4.02305102940432,54.01063074102789,3.995,1.375,1094.391,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.302791324137249,-4.023713673461876,54.090657778416976,3.995,1.371,1103.688,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.299849498448488,-4.024326169998125,54.14387535169546,3.995,1.369,1112.984,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.296964548390865,-4.022720539952623,54.19485492359418,3.995,1.365,1122.328,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.293804024861889,-4.022700261510475,54.32941500441732,3.995,1.363,1131.641,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.290746606184027,-4.024296487663581,54.33756676359689,3.995,1.3599999999999999,1141.031,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.287482095156768,-4.023781534538709,54.31662620794834,3.995,1.357,1150.406,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.284245661587855,-4.023873713633319,54.43839142895619,3.995,1.353,1159.734,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.280980543078205,-4.022943942326453,54.482417139939095,3.995,1.35,1169.047,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.277728888075724,-4.022023176279596,54.535686311574985,3.995,1.347,1178.406,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.274187878789687,-4.022729061335774,54.618858553808195,3.995,1.345,1187.703,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.270787954127709,-4.023173313389708,54.686325255103725,3.995,1.341,1197.063,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.2672870756043,-4.022618906760444,54.786845586251566,3.995,1.338,1206.391,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.263512598564131,-4.023841308765417,54.825520439447416,3.995,1.334,1215.75,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.259742657395106,-4.022211535254243,54.9078700513634,3.995,1.331,1225.141,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.255998928856504,-4.023065761273187,54.96688037277678,3.995,1.328,1234.531,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.252049297148876,-4.024477153228998,54.98149261264762,3.995,1.324,1243.875,43,"2009 04 07,16:31:01",1.6975073322057632,1
1,3.248083224535265,-4.023493905237223,55.04749540091272,3.995,1.32,1253.297,43,"2009 04 07,16:31:01",1.6975073322057632,1
